stt,tp,c1,c2a1,c2a2,c2a3,c2a4,c2a5,c2a6,c2a7,c2a8,c2a9,c2b1,c2b2,c2b3,c2c1,c2c2,c2c3,c2c4,c2c5,c2c6,c2d1,c2d2,c2d3,c2d4,c2d5,c2d6,c3,c4.1,c4.2,c5.1,c5.2,c6.1,c6.2,c7,c8,c10,c11.1,c11.2,c12,c13,c14,c15,c16.1,c16.2,c16.3,c16.4,c16.5,c16.6,c16.7,c16.8,c16.9,c16.10,c16.11,c17.1,c17.2,c17.3,c17.4,c17.5,c18,c19.1,c19.2,c19.3,c20.1,c20.2,c20.3,c21,c22.1,c22.2,c22.3,c23a,c23b,c24a,c24b,c25,c26.1,c26.2,c26.3,c27,c28,c29a1,c29a2,c29a3,c29a4,c29a5,c29a6,c29a7,c29b1,c29b2,c29b3,c29b4,c29b5,c29b6,c29c,c30a1,c30a2,c30a3,c30a4,c30a5,c30b1,c30b2,c30b3,c30b4,c30c1,c30c2,c30c3,c30c4,c30c5,c30d1,c30d2,c31.1,c31.2,c32.a1,c32.a2,c32.a3,c32.b1,c32.b2,c32.b3,c33.1,c33.2,c33.3,c34.1,c34.2,c34.3,c35.1,c35.2,c35.3,c36.1,c36.2,c36.3,c36.4,c36.5,c36.6,c36.7,c36.8,c36.9,c36.10,c36.11,c36.12,c37.1,c37.2,c37.3,c37.4,c37.5,tuoi,sonk,gtinh,tncn,tngd,hocvan,nghe,W.TP,hocvan4n
111,1,3,3,8,12,16,17, , , , ,3,17, ,3,16,17, , , ,3,3,3, , , ,4,1, ,3,4,1,1,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,6,6,7,5,7,6,5,6,6,1,1,3,15, , ,46,4,2,2,1,3,1,0.67,2
112,1,3,5,16,17,19, , , , , ,16,17, ,5,16,17,19, , ,2,5,5,2, , ,3,1,3,4, ,2,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,4,4,4,7,5,7,5,5,4,5,3,1,3, , , ,44,5,1,2,1,2,6,0.67,1
113,1,4,1,3,7,16,19, , , , ,1,3,19,1,3,7,16,19, ,1,1,2,2,1, ,4,1, ,1,3,4,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,6,6,7,3,6,6,5,7,7,3,1,3,8,23, ,55,5,2,3,3,5,13,0.67,4
114,1,3,1,3,5,7,16,17,18, , ,16, , ,5,16,17,18, , ,5,5,5,5, , ,5,1,3,1,3,4,2,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,4,5,7,3,6,6,5,6,5,4,1,3, , , ,38,5,2,2,1,3,7,0.67,2
115,1,3,1,3,5,8,11,12,17,18, ,1,3,17,8,17, , , , ,2,2, , , , ,3,1,2,1,3,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,6,7,7,7,7,7,6,7,3,7,1,3,4,13,14,29,6,1,3,2,5,14,0.67,4
116,1,3,1,5,15,16, , , , , ,1,5,16,5,16, , , , ,2,2, , , , ,2,1, ,3, ,4,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,6,7,7,5,7,6,5,7,6,4,1,3,13, , ,24,2,1,1,1,5,10,0.67,4
117,1,4,1,5,15,17,19, , , , ,1,19, ,1,17,19, , , ,2,2,2, , , ,4,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,7,7,4,7,6,7,7,6,7,2,3,13,16, ,59,4,1,2,1,2,11,0.67,1
118,1,3,17,18,19, , , , , , ,19, , ,17,19, , , , ,2,2, , , , ,1,1, ,4, ,4,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,5,5,7,7,4,7,6,6,7,7,4,1,4, , , ,31,2,1,2,1,2,7,0.67,1
119,1,3,13,14,16, , , , , , ,13,14,16,13,16, , , , ,2,1, , , , ,4,1,3,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,5,7,6,7,7,7,6,6,5,4,3,13,15,17,22,23,4,2,1,3,5,12,0.67,4
120,1,3,1,16,17, , , , , , ,17, , ,16,17, , , , ,2,2, , , , ,4,2, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,5,5,7,7,4,7,5,7,7,7,5,1,2,3, , ,34,4,1,2,1,3,9,0.67,2
121,1,4,1,5,7,13,14,17, , , ,7,13, ,7,13,17, , , ,2,2,2, , , ,4,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,7,5,5,6,4,7,7,7,6,7,4,1,3,5,20,22,24,4,2,3,4,5,3,0.67,4
122,1,3,1,19, , , , , , , ,1, , ,19, , , , , ,3, , , , , ,3,2, ,3, ,3,3,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,7,4,7,7,3,7,7,5,7,5,4,1, , , , ,38,4,2,2,2,3,5,0.67,2
123,1,4,3,5,7,16,17,19, , , ,3, , ,3,19, , , , ,2,2, , , , ,1,1,2,1,3,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,6,1,2,5,7,4,3,5,5,6,13,15,16,18,21,24,1,1,4,2,5,13,0.67,4
124,1,3,3,8,16,17,19, , , , ,19, , ,8,17, , , , ,5,5, , , , ,2,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,4,5,7,4,7,5,5,5,5,4,3,6,15,18, ,50,4,1,2,1,3,11,0.67,2
125,1,3, ,6,18,19, , , , , ,18,19, , ,6,19, , , ,1,5,5, , , ,5,3, ,3, ,1,1,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,5,5,7,2,7,6,5,6,4,1,1,3,4,18,19,51,5,2,2,1,4,11,0.67,3
126,1,3,5,8,13,19, , , , , ,8,13, ,8,19, , , , ,2,2, , , , ,3,1,3,3,4,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,5,5,7,4,6,7,5,7,6,7,1,3,7, , ,38,4,2,2,1,2,7,0.67,1
127,1,3,1,7,17, , , , , , ,17, , ,1,7,17, , , ,3,3,3, , , ,4,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,6,7,7,5,7,6,5,5,5,5,1,3,13,19, ,39,4,2,2,2,3,7,0.67,2
128,1,3,5,16,17, , , , , , ,5,16,17,5,16,17, , , ,3,3,3, , , ,4,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,6,7,7,7,6,5,6,5,5,6,1,2,3,13, ,28,6,2,2,2,5,1,0.67,4
129,1,3,1,8,17,19, , , , , ,17, , ,1,8,17,19, , ,3,3,3,3, , ,4,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,7,7,5,7,6,5,6,5,4,1,3,13,14, ,27,6,1,2,2,3,8,0.67,2
130,1,3,13,16,17,18, , , , , ,17, , ,13,16,17,18, , ,3,3,3,3, , ,3,1, ,3, ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,7,7,7,4,7,7,7,7,7,6,1,3,13,22, ,50,3,2,3,2,5,1,0.67,4
131,1,3,5,13,16, , , , , , ,13, , ,5,13,16, , , ,3,3,3, , , ,1,1, ,3, ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,5,6,5,6,6,5,4,6,5,6,1,3,14,19,22,41,1,2,2,2,3,14,0.67,2
132,1,3,1,8,17, , , , , , ,8, , ,1,8,17, , , ,3,3,3, , , ,2,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,4,4,6,7,4,7,5,5,6,5,5,1,2,3,13,19,50,4,2,3,2,3,8,0.67,2
133,1,3,1,8,17, , , , , , ,17, , ,1,8,17, , , ,3,3,3, , , ,3,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,4,4,7,7,4,7,6,5,6,5,6,1,3,4,13,18,54,6,1,3,2,3,6,0.67,2
134,1,3,1,5,7,15,17,18, , , ,7,17,18,1,5,7,15,17,18,3,3,3,3,3,3,3,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,6,6,7,6,7,6,5,6,5,6,1,3,13,19,22,35,4,2,3,2,3,6,0.67,2
135,1,3,5,8,16,17, , , , , ,17, , ,5,8,16,17, , ,3,3,3,3, , ,2,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,6,6,6,6,4,7,6,6,6,5,4,1,3,13,21, ,47,4,1,2,2,3,7,0.67,2
136,1,3,1,2,8, , , , , , ,2, , ,1,2,8, , , ,3,3,3, , , ,2,1, ,3, ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,5,6,7,6,6,7,7,6,5,5,6,1,2,3,21, ,49,5,1,2,2,3,14,0.67,2
137,1,3,8,12,13,19, , , , , ,13, , ,8,12,13,19, , ,3,3,3,3, , ,2,1, ,3, ,2,3,1, ,2, , ,2,2,2,3,5,11,14, , , , , , , , ,5,11,14, , ,5,3,1,2,2, , ,2,3, , ,2,2, , ,2,1,3, ,1,4,3,3,4,8,8,8,8,4,8,4,3,8,8,3,4,5, , , ,21, , , ,19, , , , ,21, , , , , , , , , , , , ,1, , ,4, , ,6,5,4,5,6,6,7,5,5,6,7,4,1,3,9,13, ,20,4,2,1,2,4,10,0.67,3
138,1,3,1,12,14,16,17, , , , ,14, , ,1,12,14,16,17, ,1,3,3,3,3, ,2,1, ,3, ,3,3,2,2,3, , ,1,5,3,3,2,5,6,7,8,9,19, , , , ,5,6,7, , ,19,3,2,1,2, , ,2,1, , ,2,2, , ,1,1,4, ,1,4,3,4,4,3,3,3,3,5,5,5,3,5,5,3,3,4, , , ,1, , , ,16, , , , ,18, , , ,1, , , , , ,3, , ,1, , ,4, , ,1,7,7,7,4,5,7,6,6,6,4,5,1,2,3,4,5,33,4,2,1,3,3,14,0.67,2
139,1,3,5,13,16, , , , , , ,13, , ,5,13,16, , , ,3,3,3, , , ,2,1, ,3, ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,4,4,7,7,4,7,4,5,5,4,5,1,2,4,6,14,39,3,2,3,2,3,7,0.67,2
140,1,3,8,13,17,19, , , , , ,17,19, ,8,13,17,19, , ,3,3,3,3, , ,2,1, ,3, ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,5,4,7,7,4,7,5,6,5,4,6,1,3,13,17, ,27,4,2,3,2,5,5,0.67,4
141,1,3,8,16,19, , , , , , ,16, , ,8,16,18, , , ,3,3,3, , , ,3,1, ,3, ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,5,4,7,7,4,7,6,5,5,5,6,1,3,4,13,18,47,5,1,3,3,3,6,0.67,2
142,1,3,7,8,13,16, , , , , ,13, , ,16, , , , , ,3, , , , , ,4,1,3,3, ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,4,4,6,6,5,7,3,7,6,6,4,3,22, , , ,29,4,2,3,2,3,7,0.67,2
143,1,3,16,17,19, , , , , , ,19, , ,19, , , , , ,3, , , , , ,2,1, ,3, ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,5,4,6,5,7,3,4,6,3,5,1,3, , , ,29,4,1,3,2,3,8,0.67,2
144,1,4,1,2,5,6,7,13,16,17,19,1,16,17,19, , , , , ,2, , , , , ,4,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,4,5,6,4,7,5,6,7,6,4,1,3,16, , ,49,4,1,3,2,3,11,0.67,2
145,1,3,1,7,16,19, , , , , ,16, , ,1,7,16, , , ,3,3,3, , , ,4,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,6,7,6,5,7,7,5,7,6,4,3,7,16, , ,48,4,2,3,2,5,2,0.67,4
146,1,3,1,3,8,14,16, , , , ,1,8,16,1,3,16, , , ,3,3,3, , , ,3,1,2,3, ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,5,6,6,6,7,5,6,7,6,5,3,13,16,22, ,39,4,2,3,2,5,1,0.67,4
147,1,3,5,16,19, , , , , , ,19, , ,8,13,19, , , ,3,3,3, , , ,5,1, ,3, ,3,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,6,6,5,6,7,7,5,6,5,4,5,4,14,15, , ,22,5,1,1,2,4,10,0.67,3
148,1,3,1,16,17, , , , , , ,17, , ,16,17, , , , ,3,3, , , , ,3,1,2,3, ,2,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,6,5,6,4,7,6,6,7,4,5,1,3,15,16,22,39,4,2,2,2,5,1,0.67,4
149,1,3,1,5,16,17, , , , , ,16, , ,1,16, , , , ,1,3, , , , ,4,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,4,6,6,4,7,5,6,6,4,3,1,3, , , ,39,4,1,2,2,3,8,0.67,2
150,1,3,5,7,13, , , , , , ,7,13, ,5,7,13, , , ,3,3,3, , , ,2,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,4,5,7,7,5,7,6,4,6,5,6,1,3,4,13,15,28,6,2,3,3,5,5,0.67,4
151,1,3,16,17,19, , , , , , ,16, , ,16,17,19, , , ,3,3,3, , , ,2,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5,5,6,4,3,6,2,4,5,4,3,1,3,16, , ,59,3,1,2,1,3,11,0.67,2
152,1,3,16,17,19, , , , , , ,17, , ,16,17,19, , , ,3,3,3, , , ,2,1, ,3, ,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,4,5,7,7,4,7,5,5,5,4,4,1,3,4,13,15,23,6,1,2,2,4,10,0.67,3
153,1,3,16,17,19, , , , , , ,16, , ,16,17,18,19, , ,3,3,3,3, , ,2,1,2,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,7,6,5,6,4,7,5,6,7,5,3,3,13,14, , ,46,4,1,3,2,5,1,0.67,4
154,1,3,1,5,6,7,8,16,19, , ,5,6,19,1,5,6,16,19, ,1,1,1,1,1, ,5,1, ,1,3,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,6,6,6,5,7,5,5,6,6,6,1,3,16, , ,59,5,2,2,2,3,11,0.67,2
155,1,3,16,17,19, , , , , , ,16, , ,16,17,19, , , ,3,3,3, , , ,2,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,3,6,7,5,7,4,5,6,6,3,1,3,13, , ,41,3,1,2,1,3,6,0.67,2
156,1,3,10,16,17,19, , , , , ,16,17, ,16,17, , , , ,3,3, , , , ,3,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,7,6,5,4,7,6,5,6,3,3,1,2,3, , ,59,6,1,2,2,3,11,0.67,2
157,1,3,1,16,17,19, , , , , ,16,17,19,1,16,17,19, , ,1,2,2,2, , ,4,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,4,4,5,7,5,7,4,4,5,2,6,1,3,4,21, ,59,9,1,2,3,2,11,0.67,1
158,1,4,1,5,6,7,8,13,16,17, ,5,7,13,1,5,7,13,16,17,1,2,2,2,2,2,3,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,6,7,5,6,5,7,5,4,4,3,6,1,3,5,13,22,26,5,2,2,2,5,3,0.67,4
159,1,3,5,8,16,17, , , , , ,5,8,16,5,8,16,17, , ,2,2,2,2, , ,2,1,2,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,7,5,7,2,7,5,4,5,3,6,1,3,4,15, ,50,4,2,3,2,5,2,0.67,4
160,1,3,1,8,16,17,18, , , , ,1,8,16,1,8,16,17,18, ,1,2,2,2,2, ,3,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,3,4,4,7,3,7,5,5,6,4,7,1,3,13,16,22,56,5,2,3,3,3,7,0.67,2
161,1,3,1,8,16,17,19, , , , ,1,16,19,1,8,16,17,19, ,1,1,2,2,2, ,3,1,2,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,6,6,4,7,3,7,5,5,6,4,6,1,3,4,16,19,50,4,2,3,2,5,1,0.67,4
162,1,3,16,17,18,19, , , , , ,16,17,19,16,17,18,19, , ,3,3,3,3, , ,4,1,3,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,4,7,7,3,7,6,7,7,7,4,1,3,4,5,21,47,6,1,4,3,3,14,0.67,2
163,1,3,1,3,5,12,16,17, , , ,5,16,17,1,3,5,12,16,17,1,2,2,2,2,2,4,1,2,3, ,1,1,1, ,2, , ,2,4,3,1,2,3,5,8,10,19,20, , , , ,5,10,20, , ,21,1,2,3,1,2, ,2,3, , ,2,2,3,3,2,1,2, ,3,4,3,8,8,8,8,8,8,4,3,3,8,8,8,3,5,20, , , ,21, , , ,21, , , , ,21, , , , , , , , , , , , , , , , , , ,7,5,6,5,7,3,7,4,5,6,3,5,1,3,7,17,21,42,4,1,3,2,4,3,0.67,3
164,1,3,1,3,6,12,16,17, , , ,16,17, ,1,6,12,16,17, ,1,2,2,2,2, ,3,1,2,3, ,2,4,1, ,2, , , ,5,2,4,3,6,9,10,20, , , , , , ,20, , , , ,21,3,1,2,2, , ,3,3, , , , , , ,4, , , ,3,4,3,8,8,8,8,8,8,4,8,3,4,8,8,3,5,20, , , ,21, , , ,20, , , , ,21, , , , , , , , , , , , , , , , , , ,7,5,5,7,7,4,7,5,4,5,2,6,1,3,7,17,21,40,5,1,2,2,5,8,0.67,4
165,1,3,1,8,15,16,17, , , , ,8,16,17,1,8,15,16,17, ,1,3,3,3,3, ,3,1, ,3, ,1,1,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,4,5,7,4,7,4,5,6,3,6,1,3,13,19,22,40,7,2,3,2,3,7,0.67,2
166,1,4,1,2,5,6,8,12,15,17,18,12,17,18,1,12,17,18, , ,1,2,2,2, , ,3,1,2,3, ,1,2,1, ,2, , ,3,4,2,2,3,4,5,8,9,10,20, , , , ,3,8,10, , ,21,1,3,2,2, , ,2,3, , ,3,3, , ,3,1, , ,1,4,2,3,3,2,2,2,4,2,3,3,4,2,2,4,1,3,4,8, ,1,7,19, ,11, , , , ,21, , , , , , , , , , , , ,1, , ,3, , ,6,7,7,7,7,7,7,7,7,5,4,7,1,2,3, , ,40,3,1,3,3,5,13,0.67,4
167,1,3,1,8,16,17,19, , , , ,8,16,17,1,8,16,17,19, ,1,2,2,2,2, ,3,1, ,3, ,3,2,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,5,6,7,7,4,7,3,4,7,4,1,3,13, , ,52,7,2,2,1,2,11,0.67,1
168,1,3, ,1,12,16,17, , , , ,1,16,17, ,16,17, , , ,1,2,2, , , ,4,1, ,3, ,4,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,4,4,7,3,7,4,3,5,3,6,1,3,4,13,22,36,6,2,2,2,5,12,0.67,4
